LSOA11CD,LSOA11NM,BUASD11CD,BUASD11NM,BUA11CD,BUA11NM,LAD11CD,LAD11NM,LAD11NMW,RGN11CD,RGN11NM,RGN11NMW,ObjectId
E01012855,Kingston upon Hull 029D,E35001335,Kingston upon Hull BUASD,E34004839,Kingston upon Hull BUA,E06000010,"Kingston upon Hull, City of",,E12000003,Yorkshire and The Humber,,12414
E01013002,East Riding of Yorkshire 041D,E35000692,Goole BUASD,E34004857,Goole BUA,E06000011,East Riding of Yorkshire,,E12000003,Yorkshire and The Humber,,12466
E01013136,North East Lincolnshire 002A,E35001320,Grimsby BUASD,E34004917,Grimsby BUA,E06000012,North East Lincolnshire,,E12000003,Yorkshire and The Humber,,12508
E01013092,East Riding of Yorkshire 032F,E35000549,Brough BUASD,E34004944,Brough (East Riding of Yorkshire) BUA,E06000011,East Riding of Yorkshire,,E12000003,Yorkshire and The Humber,,12728
E01013037,East Riding of Yorkshire 019B,,,E34000313,Beverley BUA,E06000011,East Riding of Yorkshire,,E12000003,Yorkshire and The Humber,,12739
E01013041,East Riding of Yorkshire 019D,,,E34000313,Beverley BUA,E06000011,East Riding of Yorkshire,,E12000003,Yorkshire and The Humber,,12743
E01012827,Kingston upon Hull 011D,E35001335,Kingston upon Hull BUASD,E34004839,Kingston upon Hull BUA,E06000010,"Kingston upon Hull, City of",,E12000003,Yorkshire and The Humber,,12785
E01013204,North East Lincolnshire 019A,E35001320,Grimsby BUASD,E34004917,Grimsby BUA,E06000012,North East Lincolnshire,,E12000003,Yorkshire and The Humber,,12908
E01013814,Nottingham 022B,E35001316,Nottingham BUASD,E34004946,Nottingham BUA,E06000018,Nottingham,,E12000004,East Midlands,,13252
E01013811,Nottingham 018B,E35001316,Nottingham BUASD,E34004946,Nottingham BUA,E06000018,Nottingham,,E12000004,East Midlands,,13325
E01013996,Herefordshire 016A,,,E34004334,Hereford BUA,E06000019,"Herefordshire, County of",,E12000005,West Midlands,,13347
E01013885,Nottingham 002E,E35001316,Nottingham BUASD,E34004946,Nottingham BUA,E06000018,Nottingham,,E12000004,East Midlands,,13437
E01013864,Nottingham 014A,E35001316,Nottingham BUASD,E34004946,Nottingham BUA,E06000018,Nottingham,,E12000004,East Midlands,,13544
E01014151,Telford and Wrekin 014B,E35001307,Telford BUASD,E34004622,Telford BUA,E06000020,Telford and Wrekin,,E12000005,West Midlands,,13687
E01015231,Torbay 014B,E35001318,Paignton BUASD,E34004813,Paignton/Torquay BUA,E06000027,Torbay,,E12000009,South West,,14727
E01015283,Bournemouth 017A,E35001146,Bournemouth BUASD,E34005031,Bournemouth/Poole BUA,E06000028,Bournemouth,,E12000009,South West,,15006
E01015383,Poole 007D,E35000801,Poole BUASD,E34005031,Bournemouth/Poole BUA,E06000029,Poole,,E12000009,South West,,15068
E01015439,Poole 008B,E35000801,Poole BUASD,E34005031,Bournemouth/Poole BUA,E06000029,Poole,,E12000009,South West,,15130
E01015446,Poole 012B,E35000801,Poole BUASD,E34005031,Bournemouth/Poole BUA,E06000029,Poole,,E12000009,South West,,15137
E01015316,Bournemouth 014A,E35001146,Bournemouth BUASD,E34005031,Bournemouth/Poole BUA,E06000028,Bournemouth,,E12000009,South West,,15158
E01015918,Southend-on-Sea 017E,E35000390,Southend-on-Sea BUASD,E34005046,Southend-on-Sea BUA,E06000033,Southend-on-Sea,,E12000006,East of England,,15256
E01015821,Southend-on-Sea 005B,E35000390,Southend-on-Sea BUASD,E34005046,Southend-on-Sea BUA,E06000033,Southend-on-Sea,,E12000006,East of England,,15330
E01015728,Luton 019B,E35000963,Luton BUASD,E34004983,Luton BUA,E06000032,Luton,,E12000006,East of England,,15361
E01015855,Southend-on-Sea 015E,E35000390,Southend-on-Sea BUASD,E34005046,Southend-on-Sea BUA,E06000033,Southend-on-Sea,,E12000006,East of England,,15546
E01016233,Bracknell Forest 007B,E35001242,Bracknell BUASD,E34004707,Greater London BUA,E06000036,Bracknell Forest,,E12000008,South East,,15636
E01016460,Slough 007E,E35001353,Slough BUASD,E34004940,Slough BUA,E06000039,Slough,,E12000008,South East,,15743
E01016377,Reading 017C,E35001501,Reading BUASD,E34004640,Reading BUA,E06000038,Reading,,E12000008,South East,,15833
E01016565,Windsor and Maidenhead 011B,,,E34003482,Datchet BUA,E06000040,Windsor and Maidenhead,,E12000008,South East,,16114
E01017392,Central Bedfordshire 013B,E35000443,Clifton (Central Bedfordshire) BUASD,E34004780,Shefford BUA,E06000056,Central Bedfordshire,,E12000006,East of England,,16836
