Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Year
2014160D00951,512938,431356,-0.288063,53.76631,16,3,2,1,14/02/2014,6,06:49,228,E06000010,6,0,Single carriageway,30,,Automatic traffic signal,3,165,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01012827,2014
2014160D00961,508861,428651,-0.35084,53.742874,16,3,1,1,14/02/2014,6,16:20,228,E06000010,3,1105,Single carriageway,30,,Automatic traffic signal,6,0,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,1,Yes,E01012855,2014
2014170M10254,448848,519836,-1.24592,54.571404,17,3,2,1,14/02/2014,6,15:00,243,E06000002,6,0,Single carriageway,20,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,Yes,E01012041,2014
2014170M30314,447185,515044,-1.272408,54.5285,17,3,2,1,14/02/2014,6,15:16,243,E06000002,3,174,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,Yes,E01032553,2014
2014170S10404,444064,519506,-1.319963,54.568877,17,3,2,1,14/02/2014,6,12:55,245,E06000004,5,142,Single carriageway,30,,Giveway or uncontrolled,5,170,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,Yes,E01012254,2014
2014170S40444,442839,511498,-1.340071,54.497019,17,3,2,1,14/02/2014,6,12:18,245,E06000004,3,1044,Single carriageway,50,,Giveway or uncontrolled,5,130,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,2,Yes,E01012235,2014
201420G002014,389360,299850,-2.158526,52.596311,20,3,2,1,14/02/2014,6,08:35,309,E08000031,3,41,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01010523,2014
201420G002284,392600,299310,-2.110681,52.591511,20,2,1,1,14/02/2014,6,18:30,309,E08000031,3,4124,Dual carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Other,Wet/Damp,None,None,1,No,E01010472,2014
201420G002534,388440,299200,-2.172086,52.590449,20,2,2,1,14/02/2014,6,23:15,309,E08000031,4,4161,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01010547,2014
201420J003644,393050,286430,-2.103765,52.475725,20,3,2,1,14/02/2014,6,15:50,303,E08000027,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01009864,2014
201420K002994,399330,291920,-2.011317,52.525126,20,2,1,1,14/02/2014,6,17:00,305,E08000028,6,0,Single carriageway,30,,,-1,0,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,No,E01032887,2014
201420M002464,434660,282540,-1.491555,52.439706,20,2,1,1,14/02/2014,6,11:41,302,E08000026,4,4113,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01009564,2014
201420M002764,433790,281620,-1.504446,52.431489,20,3,3,1,14/02/2014,6,18:30,302,E08000026,4,4118,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01009566,2014
201420S013114,406970,280590,-1.898941,52.423225,20,3,2,1,14/02/2014,6,15:00,300,E08000025,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,Yes,E01008967,2014
201420T009524,413560,289160,-1.801687,52.500147,20,2,1,1,14/02/2014,6,10:00,300,E08000025,4,4114,Single carriageway,30,,,-1,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,,2014
201420T038554,407780,283990,-1.886951,52.45378,20,2,1,2,14/02/2014,6,11:00,300,E08000025,3,435,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,No,E01009384,2014
201420W012454,406520,290040,-1.905377,52.508187,20,3,1,1,14/02/2014,6,18:23,300,E08000025,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Other,Wet/Damp,None,None,1,Yes,E01009062,2014
201420Z000884,402310,294890,-1.967374,52.551822,20,3,1,1,14/02/2014,6,20:00,305,E08000028,1,6,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lighting unknown,Raining without high winds,Wet/Damp,None,None,2,No,E01009969,2014
201420Z000904,414050,290160,-1.794426,52.509125,20,3,2,1,14/02/2014,6,10:25,300,E08000025,1,6,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,Yes,E01009101,2014
201420Z000914,400510,296280,-1.993919,52.564323,20,3,2,1,14/02/2014,6,19:06,307,E08000030,1,6,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine with high winds,Wet/Damp,None,None,1,Yes,E01010336,2014
2.01E+12,410229,310679,-1.850097,52.693674,21,3,1,1,14/02/2014,6,16:55,252,E10000028,3,51,Single carriageway,40,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,2,Yes,E01029511,2014
2.01E+12,385080,346054,-2.223836,53.011564,21,3,3,1,14/02/2014,6,13:35,253,E10000028,3,527,Dual carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01029602,2014
2.01E+12,392604,342574,-2.111613,52.98044,21,3,4,3,14/02/2014,6,16:30,257,E06000021,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,Yes,E01014364,2014
2.01E+12,388741,346480,-2.169285,53.015484,21,3,2,1,14/02/2014,6,06:25,257,E06000021,3,50,Roundabout,30,,Giveway or uncontrolled,3,52,None within 50 metres,Central refuge,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,1,Yes,E01033216,2014
2.01E+12,388045,327068,-2.178938,52.840966,21,3,2,2,14/02/2014,6,14:40,255,E10000028,3,5013,Single carriageway,40,,Giveway or uncontrolled,6,348,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present but unlit,Fine without high winds,Wet/Damp,None,None,2,Yes,E01029743,2014
201422C400587,389050,263060,-2.161886,52.265556,22,2,1,1,14/02/2014,6,08:30,277,E10000034,6,0,Single carriageway,30,,,-1,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,Yes,E01032357,2014
201422D400593,409100,277160,-1.867711,52.392357,22,2,1,1,14/02/2014,6,19:17,270,E10000034,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,Other object in carriageway,1,Yes,E01032146,2014
201422D400680,397730,270400,-2.034748,52.331652,22,3,1,1,14/02/2014,6,17:30,270,E10000034,3,448,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,None,2,Yes,E01033059,2014
201422E400565,349340,238390,-2.740049,52.041544,22,2,1,1,14/02/2014,6,19:24,285,E06000019,3,465,Single carriageway,30,,,-1,0,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01013996,2014
201422E400822,376500,240280,-2.344199,52.060358,22,3,2,1,14/02/2014,6,18:35,273,E10000034,3,449,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,2,Yes,E01032218,2014
201422F400683,330950,332970,-3.027748,52.889711,22,3,2,1,14/02/2014,6,18:25,286,E06000051,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,2,No,E01028910,2014
201422G400676,369740,310390,-2.449147,52.69032,22,3,4,2,14/02/2014,6,15:41,284,E06000020,5,5061,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01014151,2014
201423N025210,432264,297150,-1.525389,52.571193,23,3,2,1,14/02/2014,6,06:53,290,E10000031,3,5,Roundabout,50,,Giveway or uncontrolled,4,4111,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,Yes,E01031014,2014
201423N025211,419597,291740,-1.712604,52.523159,23,3,2,1,14/02/2014,6,08:45,290,E10000031,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,2,Yes,E01031023,2014
201423N065260,425920,285602,-1.619889,52.467716,23,3,3,3,14/02/2014,6,15:24,290,E10000031,1,6,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,2,Yes,E01031028,2014
201423S030171,428475,240582,-1.586066,52.062849,23,3,2,1,14/02/2014,6,16:35,293,E10000031,4,4035,Single carriageway,50,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkeness: No street lighting,Fine with high winds,Wet/Damp,None,None,2,Yes,E01031193,2014
201423S030172,425860,240253,-1.624234,52.060019,23,3,1,1,14/02/2014,6,17:19,293,E10000031,3,3400,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine with high winds,Wet/Damp,None,None,2,Yes,E01031215,2014
201423S030288,425030,243282,-1.636119,52.087289,23,3,2,2,14/02/2014,6,11:45,293,E10000031,3,429,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,No,E01031245,2014
2.01E+12,446100,357130,-1.312793,53.109356,30,3,1,1,14/02/2014,6,01:10,321,E10000007,4,6406,Slip road,70,,Giveway or uncontrolled,3,38,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Frost/Ice,None,None,2,Yes,E01019513,2014
2.01E+12,436230,333240,-1.462901,52.89537,30,2,1,1,14/02/2014,6,09:00,323,E06000015,3,5111,Single carriageway,40,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01013584,2014
2.01E+12,449640,365050,-1.25869,53.180227,30,3,2,1,14/02/2014,6,16:05,321,E10000007,3,617,Single carriageway,50,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,Other object in carriageway,2,Yes,E01019503,2014
2.01E+12,446550,342490,-1.308181,52.977724,30,2,1,1,14/02/2014,6,17:59,324,E10000007,3,6096,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,No,E01019662,2014
2.01E+12,444210,371370,-1.339061,53.237512,30,3,2,1,14/02/2014,6,15:30,327,E10000007,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,Yes,E01019822,2014
2.01E+12,442720,345950,-1.364762,53.009143,30,3,1,1,14/02/2014,6,05:47,320,E10000007,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,1,Yes,E01019464,2014
2.01E+12,448850,369810,-1.269784,53.223085,30,3,2,3,14/02/2014,6,15:10,321,E10000007,4,6417,Single carriageway,40,,Automatic traffic signal,3,632,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,2,No,E01019487,2014
201431B038514,463759,360944,-1.04827,53.141822,31,3,3,1,14/02/2014,6,08:40,345,E10000024,3,614,Single carriageway,60,,Giveway or uncontrolled,5,50,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,No,E01028295,2014
201431B041514,455598,377080,-1.167454,53.287766,31,2,3,2,14/02/2014,6,06:11,341,E10000024,3,60,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Other,Frost/Ice,None,None,2,Yes,E01028063,2014
201431B044114,464488,361048,-1.037353,53.142669,31,3,2,1,14/02/2014,6,16:51,345,E10000024,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,2,Yes,E01028297,2014
201431B082314,478140,352412,-0.835393,53.06323,31,3,1,1,14/02/2014,6,15:31,345,E10000024,3,46,Roundabout,60,,Giveway or uncontrolled,4,6166,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,2,Yes,E01033394,2014
201431B208614,472463,370634,-0.915976,53.227799,31,3,2,1,14/02/2014,6,17:26,341,E10000024,3,6075,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,2,No,E01028037,2014
201431C021114,454079,345411,-1.195575,53.003274,31,3,2,1,14/02/2014,6,18:27,346,E06000018,4,682,Single carriageway,30,,,-1,0,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine with high winds,Dry,None,None,1,Yes,E01013885,2014
201431C026814,451462,342880,-1.234971,52.980781,31,3,2,1,14/02/2014,6,07:26,346,E06000018,3,6002,Single carriageway,40,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,Yes,E01013864,2014
201431C037714,455731,341148,-1.171693,52.964787,31,3,2,2,14/02/2014,6,18:00,346,E06000018,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01013811,2014
201431C037914,455874,340844,-1.169616,52.96204,31,2,1,1,14/02/2014,6,18:00,346,E06000018,6,0,Single carriageway,30,,Giveway or uncontrolled,5,183,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine with high winds,Wet/Damp,None,None,1,No,E01013814,2014
201431C063714,457825,339782,-1.140763,52.952288,31,3,3,1,14/02/2014,6,11:56,346,E06000018,6,0,One way street,30,,Automatic traffic signal,6,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01033407,2014
201431D025414,457524,344883,-1.144337,52.99817,31,2,2,1,14/02/2014,6,16:46,343,E10000024,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01028167,2014
201431D030614,452444,336055,-1.221449,52.919339,31,3,2,1,14/02/2014,6,09:15,342,E10000024,3,6005,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01028096,2014
201432B053914,537834,344229,0.051427,52.977669,32,1,2,2,14/02/2014,6,09:50,350,E10000019,5,779,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,Road surface defective,Other object in carriageway,2,Yes,E01026008,2014
201432B056114,532475,343151,-0.028778,52.969334,32,2,1,1,14/02/2014,6,20:23,350,E10000019,3,16,Single carriageway,40,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01026006,2014
201432B056214,531384,339444,-0.046515,52.936298,32,3,3,2,14/02/2014,6,18:27,350,E10000019,3,16,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,2,Yes,E01026018,2014
201432B058814,521300,322012,-0.20296,52.782041,32,3,3,1,14/02/2014,6,11:00,354,E10000019,3,151,Single carriageway,50,,Giveway or uncontrolled,5,9,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Unknown,Dry,None,None,1,No,E01026259,2014
201432B066414,543187,322973,0.12175,52.785317,32,3,1,1,14/02/2014,6,12:20,354,E10000019,6,0,Single carriageway,30,,Giveway or uncontrolled,4,1359,None within 50 metres,Zebra crossing,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,2,Yes,E01026255,2014
201432L059114,497358,378183,-0.540859,53.291661,32,3,3,5,14/02/2014,6,11:01,356,E10000019,3,15,Single carriageway,50,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,2,Yes,E01026400,2014
201432L059714,490066,391479,-0.646442,53.412431,32,2,1,1,14/02/2014,6,13:29,356,E10000019,5,232,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,2,Yes,E01026385,2014
201432L059914,496383,371672,-0.557452,53.23333,32,3,2,1,14/02/2014,6,08:48,352,E10000019,3,57,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01026144,2014
201432N056814,514314,309824,-0.310729,52.674044,32,3,2,1,14/02/2014,6,06:35,355,E10000019,4,1525,Single carriageway,30,,Authorised person,5,462,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,No,E01026335,2014
201432N057014,506277,346816,-0.417505,53.008095,32,3,2,1,14/02/2014,6,05:26,353,E10000019,4,1518,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,1,Yes,E01026229,2014
2.01E+12,464280,305545,-1.051417,52.643818,33,3,2,1,14/02/2014,6,19:40,364,E06000016,6,1852,Single carriageway,30,,Giveway or uncontrolled,5,1357,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01013768,2014
2.01E+12,457011,304545,-1.159008,52.63564,33,3,1,1,14/02/2014,6,11:40,364,E06000016,5,1136,Single carriageway,30,,Automatic traffic signal,5,1769,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,Yes,E01013786,2014
2.01E+12,451540,294685,-1.241376,52.547553,33,3,2,1,14/02/2014,6,09:05,360,E10000018,4,4114,Dual carriageway,70,,Giveway or uncontrolled,5,5702,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,Yes,E01025620,2014
2.01E+12,452720,288010,-1.225033,52.487437,33,3,3,2,14/02/2014,6,19:00,363,E10000018,5,6703,Single carriageway,60,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,None,2,Yes,E01025777,2014
2.01E+12,455970,299940,-1.175168,52.594354,33,3,3,3,14/02/2014,6,23:14,360,E10000018,3,563,Dual carriageway,50,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,Other object in carriageway,2,Yes,E01025627,2014
2.01E+12,443645,298005,-1.35736,52.578087,33,3,1,1,14/02/2014,6,17:20,361,E10000018,5,5116,Single carriageway,60,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkeness: No street lighting,Raining without high winds,Wet/Damp,None,None,2,Yes,E01025825,2014
2.01E+12,455290,295110,-1.18601,52.551006,33,3,1,1,14/02/2014,6,13:00,360,E10000018,1,1,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,2,Yes,E01025615,2014
2.01E+12,491975,300370,-0.643642,52.593325,33,3,1,1,14/02/2014,6,23:50,368,E06000017,3,47,Single carriageway,50,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,None,2,Yes,E01013795,2014
2.01E+12,473723,287231,-0.915945,52.478005,33,3,1,1,14/02/2014,6,12:30,363,E10000018,3,4304,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01025796,2014
201434NC03994,487079,289201,-0.718827,52.493746,34,2,1,1,14/02/2014,6,19:20,380,E10000021,6,5107,Single carriageway,30,,Giveway or uncontrolled,6,5076,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01026973,2014
201434NK04074,487781,277402,-0.711587,52.387585,34,3,2,1,14/02/2014,6,16:00,383,E10000021,3,6003,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,No,E01027099,2014
201434WS03754,477354,239772,-0.873359,52.050908,34,3,2,1,14/02/2014,6,17:35,385,E10000021,3,422,Roundabout,40,,Giveway or uncontrolled,6,4113,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,2,No,E01027280,2014
201434WS03954,450428,232616,-1.267034,51.989674,34,3,2,2,14/02/2014,6,23:08,385,E10000021,1,40,Dual carriageway,70,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,None,2,Yes,E01027290,2014
2.01E+12,547270,255660,0.152514,52.1795,35,3,2,1,14/02/2014,6,20:30,390,E10000003,5,233,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Fine with high winds,Dry,None,None,1,No,E01017995,2014
2.01E+12,519240,297970,-0.242183,52.566468,35,3,2,1,14/02/2014,6,14:15,394,E06000031,3,15,Single carriageway,30,,Automatic traffic signal,3,605,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,No,E01015622,2014
2.01E+12,546680,260190,0.145851,52.220355,35,3,2,1,14/02/2014,6,13:40,390,E10000003,5,279,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,Yes,E01017974,2014
2.01E+12,519360,297260,-0.240668,52.560061,35,2,3,1,14/02/2014,6,11:25,394,E06000031,3,605,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,Other object in carriageway,1,Yes,E01015621,2014
2.01E+12,518820,301870,-0.246978,52.601604,35,3,3,3,14/02/2014,6,13:35,394,E06000031,5,56,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,Yes,E01015633,2014
2.01E+12,630206,337374,1.420204,52.884489,36,2,3,1,14/02/2014,6,11:18,405,E10000020,5,634,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,2,Yes,E01026751,2014
2.01E+12,570074,316116,0.516495,52.71594,36,3,3,2,14/02/2014,6,10:51,407,E10000020,3,47,Single carriageway,50,,Giveway or uncontrolled,5,65,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,2,Yes,E01026694,2014
2.01E+12,569769,316154,0.512004,52.716377,36,3,3,2,14/02/2014,6,14:52,407,E10000020,3,47,Single carriageway,50,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,2,Yes,E01026694,2014
2.01E+12,609881,286191,1.086052,52.433346,36,3,1,1,14/02/2014,6,07:15,406,E10000020,4,1077,Single carriageway,50,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Frost/Ice,None,None,2,Yes,E01026874,2014
201437EA78193,655309,293896,1.758797,52.48316,37,3,2,1,14/02/2014,6,14:30,416,E10000029,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,1,Yes,E01030247,2014
201437EA78208,617128,245658,1.166447,52.066667,37,2,1,1,14/02/2014,6,08:25,412,E10000029,5,332,Single carriageway,30,,Giveway or uncontrolled,6,3023,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01030011,2014
201437EA78248,608059,260461,1.043388,52.203047,37,3,2,2,14/02/2014,6,18:45,413,E10000029,3,1120,Single carriageway,30,,Giveway or uncontrolled,5,408,None within 50 metres,No physical crossing within 50 meters,Darkeness: No street lighting,Raining with high winds,Wet/Damp,None,None,2,Yes,E01030081,2014
201437EA78349,618583,242765,1.18579,52.040125,37,3,2,1,14/02/2014,6,14:30,412,E10000029,5,1189,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01029983,2014
201437EA79321,619143,245171,1.195484,52.061502,37,3,1,1,14/02/2014,6,15:30,412,E10000029,3,1214,Single carriageway,40,,Automatic traffic signal,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01029964,2014
2014404CA0159,505943,222162,-0.462011,51.887912,40,3,3,1,14/02/2014,6,22:50,421,E06000032,3,5065,Single carriageway,40,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01015728,2014
2014404DA0127,492340,224947,-0.658862,51.915363,40,3,2,1,14/02/2014,6,13:00,424,E06000056,3,4012,Single carriageway,20,,Giveway or uncontrolled,-1,-1,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,No,E01017555,2014
